count,Region,Province,Crop,Category,Seeding_date,Harvest_date,Cycle_length_months,Area_ha,Yield_kgha,Straw_kgha,Export_straw_percent,Irrig_m3,Water_source,Irrig_equipment,Packaging_type1,Packaging_type1_kgha,Packaging_type2,Packaging_type2_kgha,Fuel_type,Fuel_unit,Fuel_ha,Urea_kgha,NPK_kgha,NPK_N_percent,NPK_P_percent,NPK_K_percent,MAP_kgha,UAN_kgha,AN_kgha,AP_kgha,AS_kgha,CAN_kgha,Total_fert_min_kgha,Manure_kgha,Manure_type,Compost_kg_ha,Digestate_kg_ha,Total_fert_org_kgha,N_tot,N_min,N_orga,P_tot,P_min,P_orga,K_tot,K_min,K_orga,Insecticide_kgha,Herbicide_kgha,Fungicide_kgha,Acaricide_kgha,Biocide_NE_kgha,Total_pesticides_kgha,Seed_kgha,Equipement_phyto,Molecule_name_1,Dose_kgha_1,Phase_application_1,Molecule_name_2,Dose_kgha_2,Phase_application_2,Molecule_name_3,Dose_kgha_3,Phase_application_3,Molecule_name_4,Dose_kgha_4,Phase_application_4,Molecule_name_5,Dose_kgha_5,Phase_application_5,Molecule_name_6,Dose_kgha_6,Phase_application_6,Molecule_name_7,Dose_kgha_7,Phase_application_7,Molecule_name_8,Dose_kgha_8,Phase_application_8,Molecule_name_9,Dose_kgha_9,Phase_application_9,Transport_1,Transport_type_1,Transport_tkm_1,Transport_2,Transport_type_2,Transport_tkm_2,Transport_3,Transport_type_3,Transport_tkm_3,Transport_4,Transport_type_4,Transport_tkm_4,Transport_tkm,Transport_type,Organic_estiercol_kgha,Organic_fermentado_kgha,Organic_liquido_kgha,Irrig_lake_m3,Irrig_river_m3,Irrig_well_m3,Irrigation_source,Source_module,Output_basis,Yield_data_status,Yield_basis_note
5,costa,EL ORO,HABA SECA (GRANO SECO),transitory,2023-12-01,2024-06-01,6,0.1,227.272727272728,,,,,sin riego,,,,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,2002.4955,,,,,,,,,,,,0.0,0.0,,,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.9469696969696959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,river,ctnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.
1,costa,EL ORO,HABA TIERNA (VAINA),transitory,2024-01-01,2024-06-01,5,0.2,681.8181818181799,,,,,sin riego,,,,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,2002.4955,,,,,,,,226.79618499999998,,,,226.79618499999998,0.0,,,,0.0,,,,,,,,,,2.5,2.5,,0.0,3.4999999999999996,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,river,ctnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.
10,costa,EL ORO,LIMÓN (FRUTA FRESCA),permanent,2024-01-01,2024-12-01,11,1.625,2892.2077922077924,,,18260.869565217392,,aspersi?n,QUINTAL,,FRUTA FRESCA,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,8855.9988,,37.925783444816055,,,,,,90.718474,120.95796533333333,155.517384,,35.45715972240803,0.0,,,,0.0,,,,,,,,,,4.0,,0.42857142857142855,0.0,0.0,0.42857142857142855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1050.0,0.0,river,cpnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.
10,costa,EL ORO,MAIZ DURO CHOCLO (CHOCLO),transitory,2024-04-01,2024-10-01,6,0.3,583.3333333333326,,,11304.347826086958,,aspersi?n,SACO,,CHOCLO,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,1537.4895,,10.886216880000001,,,,,,150.0,0.0036287389600000003,5.981036146666668,,60.277431057020834,0.0,,,,0.0,,,,,,,,,,0.15208333333333335,0.42496350364963503,,0.0,0.0,0.5249635036496351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,5652.173913043479,0.0,river,ctnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.
49,costa,EL ORO,MAIZ DURO SECO (GRANO SECO),transitory,2024-01-01,2024-08-01,7,0.5,1239.1774891774896,,,11304.347826086958,,sin riego,QUINTAL,,GRANO SECO,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,1537.4895,,214.2857142857143,,,,,,125.0,45.359237,,,60.47898266666667,0.0,,,,0.0,,,,,,,,,,1.1839080459770115,2.0,1.0454545454545454,0.0,0.0,0.0,13.295454545454541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,river,ctnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.
2,costa,EL ORO,MAIZ SUAVE CHOCLO (CHOCLO),transitory,2023-10-01,2024-04-01,6,0.15500000000000003,703.4632034632033,,,11304.347826086958,,surcos,,,,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,1537.4895,,61.55896450000001,,,,,,,,,,61.55896450000001,836.9859208333334,,,,836.9859208333334,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,836.9859208333334,0.0,0.0,0.0,11304.347826086958,0.0,river,ctnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.
38,costa,EL ORO,MAIZ SUAVE SECO (GRANO SECO),transitory,2023-12-01,2024-08-01,8,0.15,432.6298701298697,,,,,sin riego,QUINTAL,,GRANO SECO,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,1537.4895,,430.9127515,,,,,,272.155422,388.79346,,,0.0,0.0,,,,0.0,,,,,,,,,,1.4999999999999998,2.857142857142857,1.923076923076923,0.0,0.0,0.0,1.3533057851239643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,river,ctnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.
2,costa,EL ORO,MANGO (FRUTA FRESCA),permanent,2024-01-01,2024-12-01,11,0.35,4545.454545454548,,,,,aspersi?n,,,,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,4871.9952,,,,,,,,250.0,,,,125.0,0.0,,,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,river,cpnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.
3,costa,EL ORO,MANI,transitory,2024-01-01,2024-07-01,6,0.09,207.79220779220717,,,10434.782608695654,,sin riego,BALDE,,GRANO DESCASCARADO,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,2647.992,,214.2857142857143,,,,,,,,,,0.0,0.0,,,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.16363636363636322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,river,ctnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.
2,costa,EL ORO,MARACUYÁ (FRUTA FRESCA),permanent,2024-01-01,2024-12-01,11,2.0,14204.54545454545,,,,,aspersi?n,QUINTAL,,FRUTA FRESCA,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,4871.9952,,,,,,,,,,45.359237,,45.359237,0.0,,,,0.0,,,,,,,,,,0.5,,0.25,0.0,0.0,0.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,river,cpnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.
8,costa,EL ORO,NARANJA (FRUTA FRESCA),permanent,2024-01-01,2024-12-01,11,0.5,4363.636363636359,,,15692.934782608696,,aspersi?n,LIBRA,,FRUTA FRESCA,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,8855.9988,,113.39809249999999,,,,,,74.48698232843137,,,,0.0,0.0,,,,0.0,,,,,,,,,,4.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1312.5,0.0,river,cpnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.
4,costa,EL ORO,ORITO (FRUTA FRESCA),permanent,2024-01-01,2024-12-01,11,0.12,28409.09090909087,,,,,sin riego,OTRA,,FRUTA FRESCA,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,2294.5065000000004,,,,,,,,,,,,0.0,0.0,,,,0.0,,,,,,,,,,,0.18518518518518517,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,river,cpnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.
113,costa,EL ORO,OTROS PASTOS CULTIVADOS,cultivated_pasture,2024-01-01,2024-12-01,11,6.0,15000.0,,,10434.782608695654,,sin riego,,,,,Diesel (estimated irrigation/mechanisation proxy),MJ/ha,0.0,,,,,,,,,,,,0.0,0.0,,,,0.0,,,,,,,,,,,1.3333333333333333,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,river,pcnac,observed managed pasture area,regional_proxy_dm_yield,"Fallback cultivated-pasture dry-matter yield proxy for uncategorized tropical improved pasture, retained as a conservative 10-20 t DM/ha/year range."
33,costa,EL ORO,OTROS PERMANENTES,permanent,2024-01-01,2024-12-01,11,1.0,4454.54545454545,,,5625.0,,sin riego,LIBRA,,FRUTA FRESCA,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,4871.9952,,,,,,,,,,,,0.0,0.0,,,,0.0,,,,,,,,,,36.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,river,cpnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.
14,costa,EL ORO,OTROS TRANSITORIOS,transitory,2023-12-01,2024-08-01,8,0.195,937.9509379509389,,,10434.782608695654,,aspersi?n,SACO,,FRUTA FRESCA,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,2216.2455,,120.95796533333333,,,,,,60.47898266666667,,151.19745666666668,,9.071847400000001,0.0,,,,0.0,,,,,,,,,,2.0,2.6666666666666665,0.6666666666666666,0.0,0.0,0.0,2.5252525252525277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,river,ctnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.
2,costa,EL ORO,PALMA AFRICANA (FRUTA FRESCA),permanent,2024-01-01,2024-12-01,11,200.0,25454.54545454545,,,15652.17391304348,,surcos,TONELADA,,FRUTA FRESCA,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,567.9936,,295.2,,,,,,,,,,295.2,0.0,,,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,7826.08695652174,0.0,river,cpnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.
7,costa,EL ORO,PAPA,transitory,2024-03-01,2024-07-01,4,0.08,2272.727272727275,,,10434.782608695654,,aspersi?n,QUINTAL,,TUBERCULO FRESCO,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,5272.5,,49.13917341666667,,,,,,,,,,0.0,518.39128,,,,518.39128,,,,,,,,,,1.41747615625,,2.380952380952381,0.0,0.0,1.133980925,14.069264069264074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,518.39128,0.0,0.0,0.0,0.0,0.0,river,ctnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.
147,costa,EL ORO,PASTO MIEL (CHILENA),cultivated_pasture,2024-01-01,2024-12-01,11,10.0,10000.0,,,,,sin riego,,,,,Diesel (estimated irrigation/mechanisation proxy),MJ/ha,0.0,,,,,,,,50.0,,,,0.0,0.0,,,,0.0,,,,,,,,,,,0.9,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,river,pcnac,observed managed pasture area,ecuador_proxy_dm_yield,Cultivated-pasture dry-matter yield proxy for pasto miel or Setaria-type pasture; Ecuador evidence and FAO tropical benchmarks support a working range near 9-14 t DM/ha/year.
222,costa,EL ORO,PASTO MIXTO,cultivated_pasture,2024-01-01,2024-12-01,11,8.04,17000.0,,,10434.782608695654,,sin riego,,,,,Diesel (estimated irrigation/mechanisation proxy),MJ/ha,0.0,,3.3401499999999995,,,,,,217.37653514376998,,,,0.0,0.0,,,,0.0,,,,,,,,,,0.12631578947368421,1.2543786488740616,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,river,pcnac,observed managed pasture area,regional_proxy_dm_yield,"Cultivated-pasture dry-matter yield proxy for mixed pasture, set as an inferred midpoint spanning the Ecuador-supported tropical grass proxies used in this project."
1,costa,EL ORO,PIÑA (FRUTA FRESCA),permanent,2024-01-01,2024-12-01,11,,66216.89155422288,,,,,sin riego,,,,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,4871.9952,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,river,cpnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.
17,costa,EL ORO,PLÁTANO (FRUTA FRESCA),permanent,2024-01-01,2024-12-01,11,0.5,14318.1818181818,,,29565.21739130435,,sin riego,OTRA,,FRUTA FRESCA,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,2294.5065000000004,,176.37,,,,,,137.5,,,,0.0,0.0,,,,0.0,,,,,,,,,,10.0,4.2,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,river,cpnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.
2,costa,EL ORO,SABOYA,cultivated_pasture,2024-01-01,2024-12-01,11,225.5,25000.0,,,,,sin riego,,,,,Diesel (estimated irrigation/mechanisation proxy),MJ/ha,1237.8500000000001,,,,,,,,,,,,0.0,0.0,,,,0.0,,,,,,,,,,,7.196969696969697,,0.0,0.0,7.196969696969697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,river,pcnac,observed managed pasture area,ecuador_proxy_dm_yield,Cultivated-pasture dry-matter yield proxy for Saboya or Panicum maximum; Ecuador cut-based evidence is combined with tropical FAO benchmarks to retain an annualized working range of 18-33 t DM/ha/year.
1,costa,EL ORO,TOMATE DE ÁRBOL (FRUTA FRESCA),permanent,2024-01-01,2024-12-01,11,,10909.090909090917,,,,,sin riego,,,,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,4871.9952,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,river,cpnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.
1,costa,EL ORO,TRIGO,transitory,2023-12-01,2024-08-01,8,0.03,1515.1515151515166,,,,,sin riego,,,,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,1447.4865,,,,,,,,,,,,0.0,0.0,,,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,3.7878787878787916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,river,ctnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.
6,costa,EL ORO,YUCA,transitory,2023-09-01,2024-08-01,11,0.17,3524.4755244755243,,,,,aspersi?n,SACO,,RAIZ FRESCA,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,2429.9955,,15.825887634615384,,,,,,,,,,0.0,0.0,,,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,25.454545454545443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,river,ctnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.
4,costa,ESMERALDAS,BANANO (FRUTA FRESCA),permanent,2024-01-01,2024-12-01,11,0.75,8181.818181818185,,,,,sin riego,OTRA,,FRUTA FRESCA,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,2294.5065000000004,,,,,,,,,,,,0.0,0.0,,,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,river,cpnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.
72,costa,ESMERALDAS,BRACHIARIA,cultivated_pasture,2024-01-01,2024-12-01,11,12.735,25000.0,,,,,sin riego,,,,,Diesel (estimated irrigation/mechanisation proxy),MJ/ha,0.0,,,,,,,,12.5,,,,0.0,0.0,,,,0.0,,,,,,,,,,,0.992468134414832,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,river,pcnac,observed managed pasture area,ecuador_proxy_dm_yield,Cultivated-pasture dry-matter yield proxy for Brachiaria based on Ecuador evidence from humid-tropics cultivar studies and Guayas field-response studies; working range retained at 20-30 t DM/ha/year.
826,costa,ESMERALDAS,CACAO (ALMENDRA SECA),permanent,2024-01-01,2024-12-01,11,2.0,545.4545454545464,,,15652.17391304348,,sin riego,QUINTAL,,ALMENDRA SECA,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,4871.9952,,130.0,,,,,,75.0,1.0,190.71847400000001,,0.0,0.0,,,,0.0,,,,,,,,,,1.0,2.0,2.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,river,cpnac,observed harvested product,direct_espac_output,Yield_kgha is reconstructed from direct ESPAC harvested production variables.
