Region,Cropping_system,Crop,Category,Irrigated_area_ha__minValue,Irrigated_area_ha__maxValue,Electricity_kWh_ha__minValue,Electricity_kWh_ha__maxValue,Manure_kgha__minValue,Manure_kgha__maxValue,Urea_kgha__minValue,Urea_kgha__maxValue,MAP_kgha__minValue,MAP_kgha__maxValue,UAN_kgha__minValue,UAN_kgha__maxValue,CAN_kgha__minValue,CAN_kgha__maxValue,Compost_kg_ha__minValue,Compost_kg_ha__maxValue,Digestate_kg_ha__minValue,Digestate_kg_ha__maxValue,Acaricide_kgha__minValue,Acaricide_kgha__maxValue,Biocide_NE_kgha__minValue,Biocide_NE_kgha__maxValue,Seed_share_pct__minValue,Seed_share_pct__maxValue,Manure_type__minValue,Manure_type__maxValue,count__minValue,count__maxValue,Province__minValue,Province__maxValue,Seeding_date__minValue,Seeding_date__maxValue,Harvest_date__minValue,Harvest_date__maxValue,Cycle_length_months__minValue,Cycle_length_months__maxValue,Area_ha__minValue,Area_ha__maxValue,Yield_kgha__minValue,Yield_kgha__maxValue,Irrig_m3__minValue,Irrig_m3__maxValue,Irrig_equipment__minValue,Irrig_equipment__maxValue,Packaging_type1__minValue,Packaging_type1__maxValue,Packaging_type2__minValue,Packaging_type2__maxValue,Fuel_type__minValue,Fuel_type__maxValue,Fuel_unit__minValue,Fuel_unit__maxValue,Fuel_ha__minValue,Fuel_ha__maxValue,NPK_kgha__minValue,NPK_kgha__maxValue,AN_kgha__minValue,AN_kgha__maxValue,AP_kgha__minValue,AP_kgha__maxValue,AS_kgha__minValue,AS_kgha__maxValue,Total_fert_min_kgha__minValue,Total_fert_min_kgha__maxValue,Total_fert_org_kgha__minValue,Total_fert_org_kgha__maxValue,Insecticide_kgha__minValue,Insecticide_kgha__maxValue,Herbicide_kgha__minValue,Herbicide_kgha__maxValue,Fungicide_kgha__minValue,Fungicide_kgha__maxValue,Total_pesticides_kgha__minValue,Total_pesticides_kgha__maxValue,Seed_kgha__minValue,Seed_kgha__maxValue,Organic_estiercol_kgha__minValue,Organic_estiercol_kgha__maxValue,Organic_fermentado_kgha__minValue,Organic_fermentado_kgha__maxValue,Organic_liquido_kgha__minValue,Organic_liquido_kgha__maxValue
costa,in association,MAIZ DURO CHOCLO (CHOCLO),transitory,0.13,0.13,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,1.0,1.0,,,,,,,4.0,4.0,0.13,0.13,384.6153846153846,384.6153846153846,10000.0,10000.0,,,,,,,,,,,1537.4895,3993.7619999999997,17.445860384615386,17.445860384615386,,,,,,,17.445860384615386,17.445860384615386,0.0,0.0,0.06978344153846154,0.06978344153846154,,,,,0.06978344153846154,0.06978344153846154,,,,,,,,
costa,in association,MAIZ DURO SECO (GRANO SECO),transitory,0.08,1.0,0.0,0.0,0.0,1209.5796533333335,,,,,,,,,,,,,0.0,0.0,0.0,1.0,0.1,1.0,,,45.0,45.0,,,,,,,3.0,8.0,0.01,7.0,703.4632034632048,7771.68234064786,0.0,11304.347826086958,,,,,,,,,,,1537.4895,3993.7619999999997,5.747126436781609,500.0,0.0,500.0,,,50.0,66.66666666666667,0.0,608.1081081081081,0.0,1209.5796533333335,0.16666666666666666,4.166666666666667,0.3333333333333333,9.0,0.17142857142857143,5.0,0.0,11.0,1.47727272727273,7.034632034632048,0.0,1209.5796533333335,,,0.0,1.4285714285714286
costa,in association,MAIZ SUAVE CHOCLO (CHOCLO),transitory,0.07,0.07,0.0,0.0,1511.9745666666668,1511.9745666666668,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,1.0,1.0,,,,,,,5.0,5.0,0.03,0.03,757.5757575757567,757.5757575757567,11304.347826086958,11304.347826086958,,,,,,,,,,,1537.4895,3993.7619999999997,90.71847400000001,90.71847400000001,,,,,,,90.71847400000001,90.71847400000001,1511.9745666666668,1511.9745666666668,,,,,,,0.0,0.0,,,1511.9745666666668,1511.9745666666668,,,,
costa,in association,MAIZ SUAVE SECO (GRANO SECO),transitory,0.08,0.22,0.0,0.0,0.0,1457.975475,,,,,,,,,,,,,0.0,0.0,0.0,1.7499999999999998,0.1,2.0,,,17.0,17.0,,,,,,,6.0,9.0,0.01,1.0,151.51515151515167,1704.545454545455,0.0,0.0,,,,,,,,,,,1537.4895,3993.7619999999997,,,0.0,113.39809249999999,,,,,0.0,113.39809249999999,0.0,1457.975475,1.25,1.25,1.25,1.25,,,0.0,4.25,0.295454545454545,5.454545454545439,0.0,1457.975475,,,,
costa,in association,MANGO (FRUTA FRESCA),permanent,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,11.0,11.0,,,7714.285714285712,7714.285714285712,0.0,0.0,,,,,,,,,,,3851.9916,6864.0084,,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,
costa,in association,MANI,transitory,0.7,0.7,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,1.0,1.0,,,,,,,4.0,4.0,0.7,0.7,207.79220779220717,207.79220779220717,10434.782608695654,10434.782608695654,,,,,,,,,,,891.9968000000001,2647.992,214.2857142857143,214.2857142857143,,,,,,,214.2857142857143,214.2857142857143,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,
costa,in association,MARACUYÁ (FRUTA FRESCA),permanent,1.4112,1.4112,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.17715419501133786,,,,,18.0,18.0,,,,,,,11.0,11.0,0.15,4.75,225.0,24000.0,0.0,0.0,,,,,,,,,,,3851.9916,6864.0084,2.526315789473684,600.0,0.0,150.0,,,15.119745666666667,34.01942775,0.0,600.0,0.0,0.0,0.4,5.0,0.05932203389830509,0.07,0.5052631578947369,4.0,0.0,6.0,,,,,,,,
costa,in association,NARANJA (FRUTA FRESCA),permanent,0.47,6.99,0.0,0.0,0.0,3023.9491333333335,,,,,,,,,,,,,0.0,0.0,0.0,723.3046296952516,,,,,24.0,24.0,,,,,,,11.0,11.0,0.0,15.0,68.1818181818182,40909.090909091,0.0,18260.869565217392,,,,,,,,,,,3851.9916,8855.9988,50.0,412.5,,,126.66666666666667,126.66666666666667,1.3333333333333333,269.46081386138616,0.0,412.5,0.0,3023.9491333333335,0.44399452998739053,18.333333333333332,0.17759781199495622,85.04606661941885,17.857142857142858,17.857142857142858,0.0,808.3506963146705,,,0.0,3023.9491333333335,0.0,723.3046296952516,0.0,0.8583690987124464
costa,in association,ORITO (FRUTA FRESCA),permanent,0.05,0.05,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,11.0,11.0,,,4462.809917355373,4462.809917355373,0.0,0.0,,,,,,,,,,,2294.5065000000004,8375.2513,,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,
costa,in association,OTROS PERMANENTES,permanent,0.5,16.0,0.0,0.0,0.0,317.514659,,,,,,,,,,,,,0.0,0.0,0.0,2.0202020202020203,,,,,31.0,31.0,,,,,,,11.0,11.0,0.0,16.0,48.70129870129871,32727.2727272727,0.0,15652.17391304348,,,,,,,,,,,3851.9916,6864.0084,50.505050505050505,204.08163265306123,0.0,130.0,220.0,220.0,40.0,50.0,0.0,220.0,0.0,317.514659,0.5033557046979866,50.0,0.5025125628140703,50.0,3.0,3.0,0.0,100.0,,,0.0,317.514659,0.0,75.0,,
costa,in association,OTROS TRANSITORIOS,transitory,0.42,1.0,0.0,0.0,0.0,345.5941866666667,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,1.0,,,2.0,2.0,,,,,,,4.0,8.0,0.21,1.0,590.9090909090911,865.8008658008666,9230.76923076923,9230.76923076923,,,,,,,,,,,1653.741,3993.7619999999997,50.0,50.0,0.0,100.0,,,,,0.0,150.0,0.0,345.5941866666667,3.0,3.0,1.0,1.0,,,0.0,4.0,8.658008658008667,8.658008658008667,0.0,345.5941866666667,,,,
costa,in association,PALMA AFRICANA (FRUTA FRESCA),permanent,0.5,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,18.0,18.0,,,,,,,11.0,11.0,2.0,34.0,2004.008016032064,35430.839002267574,0.0,0.0,,,,,,,,,,,567.9936,1960.0096000000003,141.7233560090703,141.7233560090703,,,,,,,0.0,141.7233560090703,0.0,0.0,0.09090909090909091,1.417233560090703,0.18181818181818182,1.5,,,0.0,1.5,,,,,,,,
costa,in association,PAPA,transitory,0.42,0.42,0.0,0.0,172.79709333333335,172.79709333333335,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,1.0,,,1.0,1.0,,,,,,,8.0,8.0,0.42,0.42,1406.9264069264075,1406.9264069264075,9230.76923076923,9230.76923076923,,,,,,,,,,,1653.741,5272.5,,,,,,,,,0.0,0.0,172.79709333333335,172.79709333333335,,,,,,,0.0,0.0,14.069264069264074,14.069264069264074,172.79709333333335,172.79709333333335,,,,
costa,in association,PIÑA (FRUTA FRESCA),permanent,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,11.0,11.0,,,66216.89155422288,66216.89155422288,0.0,0.0,,,,,,,,,,,3851.9916,6864.0084,,,,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,
costa,in association,PLÁTANO (FRUTA FRESCA),permanent,0.05,20.0,0.0,0.0,0.0,1000.0,,,,,,,,,,,,,0.0,0.0,0.0,6.030150753768845,,,,,299.0,299.0,,,,,,,11.0,11.0,0.0,32.0,136.3636363636364,21018.913971934093,0.0,29565.21739130435,,,,,,,,,,,2294.5065000000004,8375.2513,0.5,1200.0,0.0,333.33333333333337,75.75757575757576,220.0,126.58227848101265,126.58227848101265,0.0,1200.0,0.0,1000.0,0.07158196134574087,5.5,0.16666666666666666,5.0,0.2,3.0,0.0,8.5,,,0.0,1000.0,0.0,200.0,0.0,5.0
costa,in association,YUCA,transitory,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,5.0,5.0,,,,,,,8.0,11.0,0.25,13.0,208.04195804195768,6142.506142506142,0.0,0.0,,,,,,,,,,,1653.741,3993.7619999999997,663.265306122449,663.265306122449,,,,,,,0.0,663.265306122449,0.0,0.0,,,1.0204081632653061,2.027027027027027,,,0.0,2.027027027027027,,,,,,,,
costa,monocrop,AGUACATE (FRUTA FRESCA),permanent,1.5,10.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,4.0,4.0,,,,,,,11.0,11.0,1.5,10.0,2600.0,8484.848484848468,0.0,13846.153846153846,,,,,,,,,,,3851.9916,6864.0084,200.0,250.0,0.0,200.0,,,,,250.0,400.0,0.0,0.0,1.5,1.5,1.0,1.0,,,0.0,2.5,,,,,,,,
costa,monocrop,ARROZ (EN CÁSCARA),transitory,0.0564,592.0,0.0,0.0,0.0,1238.095238095238,,,,,,,,,,,,,0.0,0.0,0.0,17.5,0.0,100.0,,,2329.0,2329.0,,,,,,,2.0,7.0,0.0564,592.0,500.0,9395.454545454539,0.0,10000.0,,,,,,,,,,,1653.741,4514.9985,0.19841269841269843,600.0,0.0,1500.0,1.0,480.0,0.11810279667422524,400.0,0.0,1500.0,0.0,1238.095238095238,0.03125,50.0,0.05555555555555555,64.79891,0.046082267781491604,50.0,0.0,150.0,0.0,4480.0,0.0,1238.095238095238,0.0,266.6666666666667,0.0,200.50125313283206
costa,monocrop,ARVEJA SECA (GRANO SECO),transitory,,,0.0,0.0,0.0,680.388555,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,1.0,,,2.0,2.0,,,,,,,5.0,6.0,0.05,0.17,133.68983957219234,454.545454545454,0.0,0.0,,,,,,,,,,,1653.741,3993.7619999999997,,,,,,,,,0.0,0.0,0.0,680.388555,,,,,,,0.0,0.0,1.3368983957219234,4.54545454545454,0.0,680.388555,,,,
costa,monocrop,BANANO (FRUTA FRESCA),permanent,0.23,1660.0,0.0,0.0,0.0,25000.0,,,,,,,,,,,,,0.0,0.0,0.0,111.11111111111111,,,,,435.0,435.0,,,,,,,11.0,11.0,0.01,1660.0,288.7700534759353,119506.49350649344,0.0,29565.21739130435,,,,,,,,,,,2294.5065000000004,8375.2513,1.52,13325.042589437819,0.0,1587.573295,3.9622641509433962,600.0,0.5660377358490566,2400.0,0.0,13325.042589437819,0.0,25000.0,0.016129032258064516,50.72463768115942,0.024,52.5,0.09681697612732096,50.72463768115942,0.0,111.11111111111111,,,0.0,25000.0,0.0,6333.333333333333,0.0,724.80181200453
costa,monocrop,CACAO (ALMENDRA SECA),permanent,0.02,600.0,0.0,0.0,0.0,100788.224614,,,,,,,,,,,,,0.0,0.0,0.0,104.16666666666667,,,,,3936.0,3936.0,,,,,,,11.0,11.0,0.0,600.0,3.18181818181818,9090.90909090909,0.0,15652.17391304348,,,,,,,,,,,3851.9916,6864.0084,0.10014306151645207,2500.0,0.0,550.0,0.6666666666666666,294.11764705882354,0.2,800.0,0.0,2500.0,0.0,100788.224614,0.027272727272727268,50.0,0.041841004184100423,66.66666666666667,0.013333333333333334,50.0,0.0,119.72222222222223,,,0.0,26448.964614809003,0.0,100788.224614,0.0,750.0
costa,monocrop,CAFÉ (GRANO ORO),permanent,0.04,18.0,0.0,0.0,0.0,3400.0,,,,,,,,,,,,,0.0,0.0,0.0,45.359237,,,,,90.0,90.0,,,,,,,11.0,11.0,0.01,18.0,35.7954545454545,1609.0909090909079,0.0,15652.17391304348,,,,,,,,,,,3851.9916,6864.0084,2.857142857142857,388.8888888888889,0.0,200.0,160.0,160.0,60.0,60.0,0.0,540.0,0.0,3400.0,0.5,20.0,0.8,20.0,0.5968320657894737,2.0,0.0,45.359237,,,0.0,3400.0,,,0.0,26.666666666666668
costa,monocrop,CAÑA DE AZÚCAR / AZÚCAR (TALLO FRESCO),permanent,5.9,8607.25,0.0,0.0,0.0,444.44444444444446,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,80.0,80.0,,,,,,,11.0,11.0,3.0,8607.25,39639.967269751796,124359.0995962706,0.0,34782.608695652176,,,,,,,,,,,2832.0108,6864.0084,14.864987726156924,750.0,0.0,500.0,70.0,70.0,70.0,250.0,0.0,750.0,0.0,444.44444444444446,0.3333333333333333,6.0,0.4816955684007707,16.0,1.0,2.5,0.0,23.0,,,0.0,444.44444444444446,,,0.0,3.0
costa,monocrop,CAÑA DE AZÚCAR / OTROS USOS (TALLO FRESCO),permanent,0.1,1.0,0.0,0.0,0.0,925.6987142857143,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,51.0,51.0,,,,,,,11.0,11.0,0.01,8.44,113.63636363636374,113818.1818181818,0.0,34782.608695652176,,,,,,,,,,,2832.0108,6864.0084,106.66666666666667,120.00000000000001,,,110.0,110.0,140.0,140.0,0.0,370.0,0.0,925.6987142857143,,,0.6666666666666666,1.4285714285714286,,,0.0,1.4285714285714286,,,0.0,377.9936416666667,0.0,925.6987142857143,,
costa,monocrop,FREJOL SECO (GRANO SECO),transitory,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,4.0,4.0,,,,,,,3.0,9.0,0.5,37.0,409.090909090909,1381.6496205644742,0.0,0.0,,,,,,,,,,,1653.741,3993.7619999999997,45.359237,45.359237,0.0,151.98145826209202,,,,,0.0,151.98145826209202,0.0,0.0,,,0.7599072913104602,3.0,0.7599072913104602,0.7599072913104602,0.0,3.0,,,,,,,,
costa,monocrop,FREJOL TIERNO (VAINA),transitory,0.5,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,5.0,,,20.0,20.0,,,,,,,2.0,6.0,0.25,6.0,550.964187327824,4820.93663911846,0.0,6153.846153846153,,,,,,,,,,,1653.741,3993.7619999999997,66.66666666666667,200.0,0.0,100.0,,,,,0.0,200.0,0.0,0.0,1.0,3.543586109142452,1.8896447467876039,13.333333333333334,0.6613756613756613,6.666666666666667,0.0,20.666666666666668,22.727272727272698,159.09090909090898,,,,,,
costa,monocrop,HABA SECA (GRANO SECO),transitory,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,1.0,1.0,,,,,,,3.0,3.0,0.48,0.48,781.25,781.25,0.0,0.0,,,,,,,,,,,1653.741,3993.7619999999997,,,208.33333333333334,208.33333333333334,,,,,208.33333333333334,208.33333333333334,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,
costa,monocrop,HABA TIERNA (VAINA),transitory,0.25,0.5,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,1.0,,,13.0,13.0,,,,,,,2.0,7.0,0.25,1.5,340.9090909090912,7933.88429752066,0.0,10434.782608695654,,,,,,,,,,,1653.741,3993.7619999999997,61.29626621621622,217.39130434782606,0.0,226.796185,,,,,0.0,226.796185,0.0,0.0,2.0,4.0,0.5,4.0,,,0.0,6.0,17.78656126482213,17.78656126482213,,,,,,
costa,monocrop,LIMÓN (FRUTA FRESCA),permanent,0.04,22.0,0.0,0.0,0.0,907.18474,,,,,,,,,,,,,0.0,0.0,0.0,10.256410256410257,,,,,149.0,149.0,,,,,,,11.0,11.0,0.02,22.0,590.90909090909,19909.090909090934,0.0,18260.869565217392,,,,,,,,,,,3851.9916,8855.9988,21.0,1200.0,0.0,384.6153846153846,21.0,90.718474,21.0,100.0,0.0,1200.0,0.0,907.18474,0.20512820512820515,10.0,0.4,8.695652173913045,0.125,10.5,0.0,17.725,,,0.0,907.18474,0.0,477.46565263157896,0.0,20.512820512820515
costa,monocrop,MAIZ DURO CHOCLO (CHOCLO),transitory,0.03,10.0,0.0,0.0,0.0,1666.6666666666667,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,27.0,27.0,,,,,,,0.0,4.0,0.02,6.0,357.1428571428571,11000.0,0.0,11304.347826086958,,,,,,,,,,,1537.4895,3993.7619999999997,4.724920520833334,625.0,0.0,300.0,0.0018899682083333336,40.0,1.8899682083333336,150.0,0.0,700.0,0.0,1666.6666666666667,0.06479891,2.6666666666666665,0.0625,8.75,1.0,3.3333333333333335,0.0,11.875,,,0.0,1666.6666666666667,,,,
costa,monocrop,MAIZ DURO SECO (GRANO SECO),transitory,0.03,150.0,0.0,0.0,0.0,1000.0,,,,,,,,,,,,,0.0,0.0,0.0,15.0,0.25,50.0,,,1463.0,1463.0,,,,,,,2.0,9.0,0.02,1600.0,45.45454545454547,18181.81818181818,0.0,11304.347826086958,,,,,,,,,,,1537.4895,3993.7619999999997,0.5025125628140703,1500.0,0.0,755.9872833333334,2.0,293.3333333333333,2.0,452.9220779220779,0.0,1500.0,0.0,1000.0,0.022736459649122808,25.0,0.022736459649122808,45.359237,0.022679618500000002,97.198365,0.0,114.34122214285713,1.1363636363636374,2737.8375592661296,0.0,1000.0,0.0,933.3333333333334,0.0,266.6666666666667
costa,monocrop,MAIZ SUAVE CHOCLO (CHOCLO),transitory,0.1058,1.0584,0.0,0.0,0.0,161.99727499999997,,,,,,,,,,,,,0.0,0.0,0.0,0.0,2.0,2.0,,,10.0,10.0,,,,,,,2.0,6.0,0.1,1.4112,649.3506493506499,5155.525004296265,0.0,11304.347826086958,,,,,,,,,,,1537.4895,3993.7619999999997,32.399455,250.0,0.0,125.0,,,,,32.399455,250.0,0.0,161.99727499999997,0.7086167800453514,5.0,0.7086167800453514,5.0,0.7086167800453514,0.7086167800453514,0.0,10.0,103.11050008592531,103.11050008592531,0.0,161.99727499999997,,,,
costa,monocrop,MAIZ SUAVE SECO (GRANO SECO),transitory,0.1,40.0,0.0,0.0,0.0,1889.9682083333335,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.1,1.0,,,25.0,25.0,,,,,,,3.0,10.0,0.01,1200.0,174.82517482517497,5681.818181818176,0.0,10000.0,,,,,,,,,,,1537.4895,3993.7619999999997,181.436948,680.388555,0.0,1209.5796533333335,388.79346,388.79346,,,0.0,1209.5796533333335,0.0,1889.9682083333335,1.133980925,40.0,1.25,33.333333333333336,0.45359236999999997,1.923076923076923,0.0,50.0,0.295454545454545,56.818181818181756,0.0,1889.9682083333335,,,,
