count,Region,Province,Crop,Category,Seeding_date,Harvest_date,Cycle_length_months,Area_ha,Yield_kgha,Irrig_m3,Irrig_equipment,Packaging_type1,Packaging_type2,Fuel_type,Fuel_unit,Fuel_ha,NPK_kgha,AN_kgha,AP_kgha,AS_kgha,Total_fert_min_kgha,Total_fert_org_kgha,Insecticide_kgha,Herbicide_kgha,Fungicide_kgha,Total_pesticides_kgha,Seed_kgha,Organic_estiercol_kgha,Organic_fermentado_kgha,Organic_liquido_kgha,Cropping_system
1,costa,(all provinces confounded),MAIZ DURO CHOCLO (CHOCLO),transitory,2024-08-01,2024-12-01,4.0,0.13,384.6153846153846,10000.0,aspersi?n,SACO,CHOCLO,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,1537.4895,17.445860384615386,,,,17.445860384615386,0.0,0.06978344153846154,,,0.06978344153846154,,,,,in association
45,costa,(all provinces confounded),MAIZ DURO SECO (GRANO SECO),transitory,2024-01-01,2024-06-01,5.0,1.0,2727.2727272727266,0.0,sin riego,QUINTAL,GRANO SECO,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,1537.4895,100.0,100.0,,53.57142857142857,110.0,0.0,1.0,1.0,0.5714285714285714,1.1428571428571428,2.2727272727272667,777.5869200000001,,1.4285714285714286,in association
1,costa,(all provinces confounded),MAIZ SUAVE CHOCLO (CHOCLO),transitory,2024-01-01,2024-06-01,5.0,0.03,757.5757575757567,11304.347826086958,surcos,,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,1537.4895,90.71847400000001,,,,90.71847400000001,1511.9745666666668,,,,0.0,,1511.9745666666668,,,in association
17,costa,(all provinces confounded),MAIZ SUAVE SECO (GRANO SECO),transitory,2023-12-01,2024-08-01,8.0,0.15,295.45454545454504,0.0,sin riego,QUINTAL,GRANO SECO,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,1537.4895,,113.39809249999999,,,0.0,0.0,1.25,1.25,,0.0,1.4551357733175896,318.87543611,,,in association
1,costa,(all provinces confounded),MANGO (FRUTA FRESCA),permanent,2024-01-01,2024-12-01,11.0,,7714.285714285712,0.0,sin riego,,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,4871.9952,,,,,,0.0,,,,0.0,,,,,in association
1,costa,(all provinces confounded),MANI,transitory,2024-08-01,2024-12-01,4.0,0.7,207.79220779220717,10434.782608695654,surcos,BALDE,GRANO DESCASCARADO,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,2647.992,214.2857142857143,,,,214.2857142857143,0.0,,,,0.0,,,,,in association
18,costa,(all provinces confounded),MARACUYÁ (FRUTA FRESCA),permanent,2024-01-01,2024-12-01,11.0,1.4112,10105.263157894737,0.0,sin riego,QUINTAL,FRUTA FRESCA,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,4871.9952,150.0,150.0,,28.830023516949154,100.0,0.0,1.5,0.06666666666666667,1.0,0.06299435028248587,,,,,in association
24,costa,(all provinces confounded),NARANJA (FRUTA FRESCA),permanent,2024-01-01,2024-12-01,11.0,2.75,4140.4140414041385,0.0,sin riego,LIBRA,FRUTA FRESCA,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,8855.9988,190.0,,126.66666666666667,135.39707359735974,0.0,0.0,0.8571428571428572,1.1904761904761905,17.857142857142858,0.0,,317.514659,723.3046296952516,0.7863274064990804,in association
1,costa,(all provinces confounded),ORITO (FRUTA FRESCA),permanent,2024-01-01,2024-12-01,11.0,,4462.809917355373,0.0,aspersi?n,,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,2294.5065000000004,,,,,,0.0,,,,0.0,,,,,in association
31,costa,(all provinces confounded),OTROS PERMANENTES,permanent,2024-01-01,2024-12-01,11.0,1.49,3421.2934716290392,0.0,sin riego,LIBRA,FRUTA FRESCA,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,4871.9952,129.48073701842546,40.0,220.0,45.0,63.75,0.0,1.0,0.96875,3.0,0.0,,317.514659,75.0,,in association
2,costa,(all provinces confounded),OTROS TRANSITORIOS,transitory,2023-12-01,2024-08-01,8.0,0.605,728.3549783549788,9230.76923076923,aspersi?n,QUINTAL,GRANO SECO,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,2216.2455,50.0,100.0,,,75.0,172.79709333333335,3.0,1.0,,2.0,8.658008658008667,345.5941866666667,,,in association
18,costa,(all provinces confounded),PALMA AFRICANA (FRUTA FRESCA),permanent,2024-01-01,2024-12-01,11.0,9.98,9600.0,0.0,sin riego,TONELADA METR.,FRUTA FRESCA,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,567.9936,141.7233560090703,,,,0.0,0.0,0.1503006012024048,0.2004008016032064,,0.0,,,,,in association
1,costa,(all provinces confounded),PAPA,transitory,2023-12-01,2024-08-01,8.0,0.42,1406.9264069264075,9230.76923076923,aspersi?n,,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,5272.5,,,,,0.0,172.79709333333335,,,,0.0,14.069264069264074,172.79709333333335,,,in association
1,costa,(all provinces confounded),PIÑA (FRUTA FRESCA),permanent,2024-01-01,2024-12-01,11.0,,66216.89155422288,0.0,,,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,4871.9952,,,,,,0.0,,,,0.0,,,,,in association
299,costa,(all provinces confounded),PLÁTANO (FRUTA FRESCA),permanent,2024-01-01,2024-12-01,11.0,1.99,6363.63636363635,0.0,sin riego,OTRA,FRUTA FRESCA,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,2294.5065000000004,128.57142857142858,122.5,147.87878787878788,126.58227848101265,100.0,0.0,0.6666666666666666,1.0,0.5,0.16891891891891891,,666.6666666666666,109.23423423423424,0.9132420091324202,in association
5,costa,(all provinces confounded),YUCA,transitory,2024-01-01,2024-10-01,9.0,0.98,1391.4656771799591,0.0,sin riego,SACO,RAIZ FRESCA,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,2429.9955,663.265306122449,,,,0.0,0.0,,1.5237175951461666,,0.0,,,,,in association
4,costa,(all provinces confounded),AGUACATE (FRUTA FRESCA),permanent,2024-01-01,2024-12-01,11.0,5.75,5542.424242424234,0.0,microaspersi?n,CAJA,FRUTA FRESCA,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,4871.9952,225.0,200.0,,,325.0,0.0,1.5,1.0,,0.0,,,,,monocrop
2329,costa,(all provinces confounded),ARROZ (EN CÁSCARA),transitory,2024-05-01,2024-12-01,7.0,2.5,4500.0,10000.0,surcos,SACA,EN CASCARA,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,4514.9985,150.0,141.7233560090703,100.0,100.0,283.68794326241135,0.0,1.0,1.3333333333333333,1.0,2.531645569620253,175.0,136.077711,129.59782,2.49840717594084,monocrop
2,costa,(all provinces confounded),ARVEJA SECA (GRANO SECO),transitory,2024-03-01,2024-08-01,5.0,0.11000000000000001,294.1176470588232,0.0,sin riego,,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,2002.4955,,,,,0.0,340.1942775,,,,0.0,2.9411764705882315,680.388555,,,monocrop
435,costa,(all provinces confounded),BANANO (FRUTA FRESCA),permanent,2024-01-01,2024-12-01,11.0,49.475,39572.10589863642,26153.846153846152,aspersi?n,CAJA,FRUTA FRESCA,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,2294.5065000000004,252.27272727272725,136.07771100000002,75.0,110.0,208.03846153846155,0.0,1.0006671114076051,2.0,3.7171052631578947,3.0,,589.670081,181.436948,20.37735849056604,monocrop
3936,costa,(all provinces confounded),CACAO (ALMENDRA SECA),permanent,2024-01-01,2024-12-01,11.0,2.0,594.9365644395771,0.0,sin riego,QUINTAL,ALMENDRA SECA,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,4871.9952,150.0,125.0,75.0,100.0,100.0,0.0,1.0,1.417233560090703,1.0,0.27920755468079017,,200.0,113.39809249999999,3.7792894935752077,monocrop
90,costa,(all provinces confounded),CAFÉ (GRANO ORO),permanent,2024-01-01,2024-12-01,11.0,1.0,238.636363636364,0.0,sin riego,QUINTAL,GRANO ORO,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,4871.9952,130.0,160.0,160.0,60.0,0.0,0.0,2.0,2.0,1.2984160328947367,0.0,,604.7898266666666,,23.333333333333332,monocrop
80,costa,(all provinces confounded),CAÑA DE AZÚCAR / AZÚCAR (TALLO FRESCO),permanent,2024-01-01,2024-12-01,11.0,100.0,70000.0,34782.608695652176,surcos,TONELADA METR.,TALLO FRESCO,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,2832.0108,300.0,150.37688442211055,70.0,100.0,400.0,0.0,1.0,4.0,1.0,3.0,,27.79996839869691,,3.0,monocrop
51,costa,(all provinces confounded),CAÑA DE AZÚCAR / OTROS USOS (TALLO FRESCO),permanent,2024-01-01,2024-12-01,11.0,0.75,10606.060606060611,0.0,sin riego,QUINTAL,TALLO FRESCO,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,2832.0108,113.33333333333334,,110.0,140.0,0.0,0.0,,1.0,,0.0,,377.9936416666667,925.6987142857143,,monocrop
4,costa,(all provinces confounded),FREJOL SECO (GRANO SECO),transitory,2024-01-01,2024-07-01,6.0,1.81595,1090.9090909090914,0.0,sin riego,QUINTAL,GRANO SECO,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,2002.4955,45.359237,151.98145826209202,,,22.6796185,0.0,,1.8799536456552302,0.7599072913104602,0.7599072913104602,,,,,monocrop
20,costa,(all provinces confounded),FREJOL TIERNO (VAINA),transitory,2024-01-01,2024-07-01,6.0,0.7849999999999999,2332.535885167459,0.0,sin riego,QUINTAL,VAINA,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,2002.4955,166.66666666666666,87.42470920831519,,,126.66666666666667,0.0,3.0,4.631578947368421,2.3333333333333335,2.0,89.090909090909,,,,monocrop
1,costa,(all provinces confounded),HABA SECA (GRANO SECO),transitory,2024-01-01,2024-04-01,3.0,0.48,781.25,0.0,sin riego,SACO,GRANO SECO,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,2002.4955,,208.33333333333334,,,208.33333333333334,0.0,,,,0.0,,,,,monocrop
13,costa,(all provinces confounded),HABA TIERNA (VAINA),transitory,2024-01-01,2024-03-01,2.0,0.46499999999999997,2082.6446280991718,0.0,sin riego,SACO,VAINA,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,2002.4955,90.718474,153.19148936170214,,,133.5586704389523,0.0,2.0,2.127659574468085,,2.0,17.78656126482213,,,,monocrop
149,costa,(all provinces confounded),LIMÓN (FRUTA FRESCA),permanent,2024-01-01,2024-12-01,11.0,1.0,4210.526315789474,13125.0,sin riego,COSTAL,FRUTA FRESCA,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,8855.9988,150.0,80.0,55.859237,75.0,60.0,0.0,1.3602941176470589,2.046049188906332,0.26666666666666666,0.2857142857142857,,181.436948,245.2127173157895,20.512820512820515,monocrop
27,costa,(all provinces confounded),MAIZ DURO CHOCLO (CHOCLO),transitory,2024-04-01,2024-04-01,0.0,1.25,2289.5622895622896,10000.0,aspersi?n,SACO,CHOCLO,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,1537.4895,200.0,172.95531610526314,0.0036287389600000003,66.66666666666667,275.0,0.0,0.7333333333333334,1.255050505050505,2.5,1.5,,1666.6666666666667,,,monocrop
1463,costa,(all provinces confounded),MAIZ DURO SECO (GRANO SECO),transitory,2024-01-01,2024-06-01,5.0,2.5,4545.45454545454,0.0,sin riego,QUINTAL,GRANO SECO,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,1537.4895,188.96447467876038,150.0,100.0,71.58196134574088,250.0,0.0,1.0,2.0,1.0909090909090908,2.2222222222222223,50.287686996547706,566.9904625,375.0,2.0,monocrop
10,costa,(all provinces confounded),MAIZ SUAVE CHOCLO (CHOCLO),transitory,2024-09-01,2024-11-01,2.0,0.24000000000000002,1186.6110080395804,6250.0,aspersi?n,ALMUD,CHOCLO,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,1537.4895,70.86167800453515,125.0,,,94.50188392937515,0.0,0.7086167800453514,1.25,0.7086167800453514,2.1258503401360542,103.11050008592531,161.99727499999997,,,monocrop
25,costa,(all provinces confounded),MAIZ SUAVE SECO (GRANO SECO),transitory,2024-01-01,2024-07-01,6.0,0.25,545.454545454544,0.0,sin riego,QUINTAL,MAZORCA,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,1537.4895,500.0,230.57612141666667,388.79346,,100.0,0.0,5.0,5.0,1.1883346465384614,1.923076923076923,1.3533057851239643,1077.28187875,,,monocrop
65,costa,(all provinces confounded),MANGO (FRUTA FRESCA),permanent,2024-01-01,2024-12-01,11.0,3.99,7714.285714285712,0.0,sin riego,CAJA,FRUTA FRESCA,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,4871.9952,100.16722408026754,40.644555694618276,12.76595744680851,15.30839477408523,25.75,0.0,0.925531914893617,1.0,0.65,0.5,,316.5748693361905,80.32128514056224,,monocrop
41,costa,(all provinces confounded),MANI,transitory,2024-01-01,2024-05-01,4.0,1.0,872.7272727272721,0.0,sin riego,QUINTAL,GRANO DESCASCARADO,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,2647.992,150.0,150.0,,,66.66666666666667,0.0,1.0,2.0,1.0,2.0,12.121212121212118,,7.25747792,2.0,monocrop
114,costa,(all provinces confounded),MARACUYÁ (FRUTA FRESCA),permanent,2024-01-01,2024-12-01,11.0,1.0,4278.005394076819,0.0,sin riego,QUINTAL,FRUTA FRESCA,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,4871.9952,141.7233560090703,100.0,,108.39390421428571,80.60913705583756,0.0,1.543102638101983,2.0,1.0,0.450133422281521,,1837.0490985000001,40.5,16.0,monocrop
18,costa,(all provinces confounded),NARANJA (FRUTA FRESCA),permanent,2024-01-01,2024-12-01,11.0,0.5,4181.81818181818,0.0,sin riego,LIBRA,FRUTA FRESCA,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,8855.9988,106.69904625,113.39809249999999,,,0.0,0.0,2.5,,,0.0,,362.873896,,,monocrop
17,costa,(all provinces confounded),ORITO (FRUTA FRESCA),permanent,2024-01-01,2024-12-01,11.0,1.0,4462.809917355373,0.0,sin riego,OTRA,FRUTA FRESCA,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,2294.5065000000004,146.34146341463415,40.0,60.0,,0.0,0.0,,2.0,,0.0,,362.873896,,,monocrop
372,costa,(all provinces confounded),OTROS PERMANENTES,permanent,2024-01-01,2024-12-01,11.0,2.0,3508.2367297132414,0.0,sin riego,LIBRA,FRUTA FRESCA,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,4871.9952,155.20833333333331,125.0,75.0,130.0,0.0,0.0,1.0,2.0,1.417233560090703,0.0,,288.4433112823129,651.4285714285714,50.0,monocrop
61,costa,(all provinces confounded),OTROS TRANSITORIOS,transitory,2024-07-01,2024-12-01,5.0,1.0,5797.773654916525,0.0,sin riego,SACO,FRUTA FRESCA,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,2216.2455,200.0,150.0,,125.0,232.55813953488374,0.0,2.1052631578947367,1.4285714285714286,1.5,2.0,117.62626262626259,36.2873896,13.607771099999999,24.0,monocrop
406,costa,(all provinces confounded),PALMA AFRICANA (FRUTA FRESCA),permanent,2024-01-01,2024-12-01,11.0,36.0,15000.0,0.0,sin riego,TONELADA METR.,FRUTA FRESCA,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,567.9936,357.14285714285717,63.492063492063494,56.462740295555555,50.0,200.0,0.0,0.5,1.572110436133928,0.12092629542293973,0.5,,600.0,2538.0643464671607,376.9230769230769,monocrop
17,costa,(all provinces confounded),PALMITO (TALLO FRESCO),permanent,2024-01-01,2024-12-01,11.0,10.0,4297.520661157025,0.0,sin riego,LIBRA,TALLO FRESCO,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,4871.9952,175.0,,,,0.0,0.0,0.5625,1.8888888888888888,,0.0,,92.5925925925926,600.0,0.06060606060606061,monocrop
6,costa,(all provinces confounded),PAPA,transitory,2024-03-01,2024-07-01,4.0,0.08,2556.818181818181,9230.76923076923,aspersi?n,QUINTAL,TUBERCULO FRESCO,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,5272.5,49.13917341666667,,,,0.0,599.3899174999999,1.41747615625,,2.380952380952381,1.2757285406249999,19.886363636363626,765.4371243749999,,,monocrop
36,costa,(all provinces confounded),PIÑA (FRUTA FRESCA),permanent,2024-01-01,2024-12-01,11.0,20.5,66216.89155422288,13846.153846153846,aspersi?n,CAJA,FRUTA FRESCA,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,4871.9952,283.4467120181406,616.6603773584906,162.14470284237726,850.0,1599.9773909111464,0.0,4.0,9.991437745272922,2.31436948,4.5789725196801845,,2971.4285714285716,2000.0,60.0,monocrop
954,costa,(all provinces confounded),PLÁTANO (FRUTA FRESCA),permanent,2024-01-01,2024-12-01,11.0,1.5,7102.272727272729,0.0,sin riego,OTRA,FRUTA FRESCA,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,2294.5065000000004,171.42857142857142,161.90838955380576,170.06802721088437,25.0,0.0,0.0,1.0,2.0,1.0126647182484745,0.0,4181.818181818187,340.0,31.25,5.051020408163265,monocrop
80,costa,(all provinces confounded),SOYA,transitory,2024-06-01,2024-10-01,4.0,2.9,1509.0787635877805,0.0,sin riego,QUINTAL,GRANO SECO,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,1271.9968000000001,94.0,100.0,62.8140703517588,100.0,100.0,0.0,1.0,1.0,1.0,1.417233560090703,37.79229248023985,,,18.0,monocrop
30,costa,(all provinces confounded),TABACO,transitory,2024-06-01,2024-12-01,6.0,21.0,909.09090909091,7500.0,goteo,CAJA,HOJA SECA,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,3101.0014,200.0,80.0,,105.01779359430606,200.0,0.0,1.0,2.0,2.0,1.9772727272727273,182.9454545454545,1000.0,181.436948,1.5,monocrop
1,costa,(all provinces confounded),TOMATE DE ÁRBOL (FRUTA FRESCA),permanent,2024-01-01,2024-12-01,11.0,,10909.090909090917,0.0,sin riego,,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,4871.9952,,,,,,0.0,,,,0.0,,,,,monocrop
2,costa,(all provinces confounded),TOMATE RIÑON,transitory,2024-08-01,2024-10-01,2.0,0.51,11522.727272727276,10434.782608695654,surcos,CAJA,FRUTA FRESCA,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,5856.4935000000005,500.0,,,,250.0,1250.0,12.0,,,6.0,,2500.0,,,monocrop
1,costa,(all provinces confounded),TRIGO,transitory,2023-12-01,2024-08-01,8.0,0.03,1515.1515151515166,0.0,sin riego,,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,1447.4865,,,,,0.0,0.0,,,,0.0,3.7878787878787916,,,,monocrop
70,costa,(all provinces confounded),YUCA,transitory,2024-01-01,2024-12-01,11.0,1.0,5590.90909090909,0.0,sin riego,SACO,RAIZ FRESCA,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,2429.9955,125.0,141.7233560090703,150.0,200.0,0.0,0.0,1.7727272727272727,2.125,1.0,1.0,25.454545454545443,,150.0,80.0,monocrop
4,oriente,(all provinces confounded),BANANO (FRUTA FRESCA),permanent,2024-01-01,2024-12-01,11.0,0.15,6611.570247933881,0.0,sin riego,OTRA,FRUTA FRESCA,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,2294.5065000000004,,,,,0.0,0.0,,3.3333333333333335,,0.0,,,,,in association
27,oriente,(all provinces confounded),CACAO (ALMENDRA SECA),permanent,2024-01-01,2024-12-01,11.0,1.0,363.63636363636357,0.0,sin riego,QUINTAL,ALMENDRA SECA,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,4871.9952,125.0,,,,0.0,0.0,1.0,2.0,4.2105263157894735,0.0,,5.669904625,124.45440651875,6.0,in association
20,oriente,(all provinces confounded),CAFÉ (GRANO ORO),permanent,2024-01-01,2024-12-01,11.0,1.0,294.99999999999983,0.0,sin riego,QUINTAL,GRANO ORO,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,4871.9952,125.0,127005.8636,,,0.0,0.0,1.25,1.75,12.0,0.0,,,172.77745729999998,100000.0,in association
1,oriente,(all provinces confounded),FREJOL SECO (GRANO SECO),transitory,2024-07-01,2024-11-01,4.0,0.13,349.65034965034994,0.0,sin riego,,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,2002.4955,,157.01274346153846,,,157.01274346153846,0.0,1.0,,,1.0,0.6993006993006999,,,,in association
2,oriente,(all provinces confounded),FREJOL TIERNO (VAINA),transitory,2024-10-01,2024-12-01,2.0,0.13,1181.818181818182,3076.9230769230767,sin riego,,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,2002.4955,,200.0,,,100.0,1250.0,,25.0,,12.5,2.72727272727272,2500.0,,,in association
4,oriente,(all provinces confounded),MAIZ DURO CHOCLO (CHOCLO),transitory,2023-09-01,2024-01-01,4.0,0.025,3163.6363636363612,0.0,sin riego,,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,1537.4895,,200.0,,,0.0,1133.980925,,25.0,,0.0,,2383.980925,,,in association
3,oriente,(all provinces confounded),MAIZ DURO SECO (GRANO SECO),transitory,2024-08-01,2024-12-01,4.0,3.5,4415.584415584429,0.0,sin riego,QUINTAL,GRANO SECO,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,1537.4895,400.0,5.0,,,400.0,0.0,8.0,,16.0,24.0,,,,,in association
1,oriente,(all provinces confounded),MAIZ SUAVE SECO (GRANO SECO),transitory,2024-07-01,2024-11-01,4.0,0.13,279.72027972027996,0.0,sin riego,,,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,1537.4895,,157.01274346153846,,,157.01274346153846,0.0,1.0,,,1.0,0.5594405594405599,,,,in association
8,oriente,(all provinces confounded),ORITO (FRUTA FRESCA),permanent,2024-01-01,2024-12-01,11.0,0.265,3219.696969696972,0.0,sin riego,OTRA,FRUTA FRESCA,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,2294.5065000000004,90.718474,,,,0.0,0.0,1.48,,,0.0,,,,,in association
3,oriente,(all provinces confounded),OTROS PERMANENTES,permanent,2024-01-01,2024-12-01,11.0,6.0,5000.0,0.0,sin riego,UNIDAD,FRUTA FRESCA,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,4871.9952,211.67643933333332,211.67643933333332,,,423.35287866666664,166.66666666666666,8.0,,8.0,0.0,,,,166.66666666666666,in association
14,oriente,(all provinces confounded),OTROS TRANSITORIOS,transitory,2024-01-01,2024-11-01,10.0,0.195,1515.1515151515166,0.0,sin riego,SACO,TUBERCULO FRESCO,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,2216.2455,0.6666666666666666,,,,0.0,0.0,0.3333333333333333,2.6666666666666665,,0.0,7.727272727272721,2419.159306666667,,,in association
7,oriente,(all provinces confounded),PALMA AFRICANA (FRUTA FRESCA),permanent,2024-01-01,2024-12-01,11.0,2.0,20000.0,0.0,sin riego,TONELADA METR.,FRUTA FRESCA,"Diesel (proxy literature, Ecuador-calibrated)",MJ/ha,567.9936,286.47939157894734,,,,0.0,0.0,1.263157894736842,3.1578947368421053,,0.0,,,,204.0,in association
